"fecha","subcategoria","ecommerce","marca","producto","precio.antes","precio.actual"
"2017-09-13","Accesorios-Hombre","Falabella","Jacques Lemans","Reloj Mujer 1-1840G ...","S/ 1,099","S/ 769.30"
"2017-09-13","Accesorios-Hombre","Falabella","Royal London","Reloj Mujer Acero Do...","S/ 599","S/ 419.30"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Unisex SVCK408...","S/ 739","S/ 665.10"
"2017-09-13","Accesorios-Hombre","Falabella","Victorinox","Navaja Spartan Camuf...",NA,"S/ 89"
"2017-09-13","Accesorios-Hombre","Falabella","Victorinox","Navaja Spartan Machu...",NA,"S/ 99"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Hombre de Cuar...","S/ 793","S/ 713.70"
"2017-09-13","Accesorios-Hombre","Falabella","Adidas","Reloj Mujer Silicona...","S/ 369","S/ 295.20"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Análogo...","S/ 799","S/ 309"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Mujer Acero In...","S/ 579","S/ 521.10"
"2017-09-13","Accesorios-Hombre","Falabella","Tissot","Reloj Hombre Resina ...","S/ 3,725","S/ 3,352.50"
"2017-09-13","Accesorios-Hombre","Falabella","Tommy Hilfiger","Reloj  para Mujer","S/ 889","S/ 444.50"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Mochila para Caballe...","S/ 959","S/ 749"
"2017-09-13","Accesorios-Hombre","Falabella","Tissot","Reloj Hombre Cuero B...","S/ 1,510","S/ 1,359"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Hombre PU10414...","S/ 949","S/ 569.40"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Cuero N...",NA,"S/ 879"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Neceser de Cuero par...","S/ 419","S/ 329"
"2017-09-13","Accesorios-Hombre","Falabella","Toy Watch","Reloj Mujer MO12OR  ...","S/ 990","S/ 544.50"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Hombre PU10403...","S/ 559","S/ 335.40"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Acero P...",NA,"S/ 2,571.57"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Cuero N...",NA,"S/ 1,309"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Mujer Metal Do...","S/ 285","S/ 145"
"2017-09-13","Accesorios-Hombre","Falabella","Victorinox","Navaja Escort Rojo",NA,"S/ 35"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Mujer Acero Do...",NA,"S/ 1,839"
"2017-09-13","Accesorios-Hombre","Falabella","Diesel","Reloj Hombre Cuero M...","S/ 1,899","S/ 1,229"
"2017-09-13","Accesorios-Hombre","Falabella","Toy Watch","Reloj Mujer FL07VL  ...","S/ 760","S/ 418"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Mujer PU910801...","S/ 309","S/ 185.40"
"2017-09-13","Accesorios-Hombre","Falabella","Toy Watch","Reloj Mujer VV18LI  ...","S/ 876","S/ 481.80"
"2017-09-13","Accesorios-Hombre","Falabella","CAT","Mochila Plowing","S/ 159","S/ 111.30"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Or...","S/ 1,219","S/ 731.40"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Hombre PU91129...","S/ 809","S/ 647.20"
"2017-09-13","Accesorios-Hombre","Falabella","Festina","Reloj Hombre F6855/2...","S/ 989","S/ 593.40"
"2017-09-13","Accesorios-Hombre","Falabella","Montblanc","Correa Reversible de...",NA,"S/ 1,414"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Multifu...","S/ 829","S/ 449"
"2017-09-13","Accesorios-Hombre","Falabella","Montblanc","Correa Reversible de...",NA,"S/ 1,008"
